signal ,province,city,job,salary,company,experience,education,scale
北京4,北京,北京,数据分析师,15k-28k,天津长城共享汽车服务,3-5年,本科,100-499人
北京4,北京,北京,数据分析经理,20k-30k,北京融贯,3-5年,本科,100-499人
北京4,北京,北京,数据科学家/数据分析高级专家,35k-60k,滴滴出行,5-10年,硕士,10000人以上
北京4,北京,北京,数据分析,6k-8k,零号窗口,应届生,大专,100-499人
北京4,北京,北京,数据分析师,10k-20k,元丁科技,1-3年,本科,0-20人
北京4,北京,北京,数据分析经理,8k-15k,星美传媒集团,经验不限,大专,10000人以上
北京4,北京,北京,数据分析研究员,6k-8k,清研智库,1-3年,硕士,100-499人
北京4,北京,北京,区块链数据分析师,10k-20k,TokenInsight,1-3年,本科,20-99人
北京4,北京,北京,采购数据分析专员,10k-15k,小药药,1-3年,本科,1000-9999人
北京4,北京,北京,微信搜索推荐数据分析工程师,16k-32k,腾讯,3-5年,本科,10000人以上
北京4,北京,北京,数据分析师,10k-20k,捷越联合,1-3年,本科,10000人以上
北京4,北京,北京,临床数据分析,15k-30k,首佑,3-5年,本科,20-99人
北京4,北京,北京,数据分析师,25k-50k,北京理工新源,1年以内,硕士,100-499人
北京4,北京,北京,数据分析,25k-50k,滴滴出行,1-3年,本科,10000人以上
北京4,北京,北京,高级数据分析师-增长策略方向,20k-40k,今日头条,3-5年,本科,10000人以上
北京4,北京,北京,数据分析,10k-17k,有利网,1-3年,本科,10000人以上
北京4,北京,北京,数据分析,5k-6k,功夫电子商务,经验不限,本科,20-99人
北京4,北京,北京,高级数据分析师（保险）-北京-00853,18k-36k,同盾科技,3-5年,硕士,1000-9999人
北京4,北京,北京,数据分析师,15k-20k,美菜网,3-5年,本科,10000人以上
北京4,北京,北京,数据分析工程师（中级、高级）,15k-30k,创世智链,1-3年,本科,100-499人
北京4,北京,北京,风险数据分析师,18k-35k,京东金融,3-5年,本科,10000人以上
北京4,北京,北京,数据分析师,20k-40k,趣店集团,1-3年,本科,1000-9999人
北京4,北京,北京,期货/现货数据分析实习生,3k-4k,东方宇阳,应届生,本科,20-99人
北京4,北京,北京,数据分析师,16k-20k,贝壳找房,5-10年,本科,10000人以上
北京5,北京,北京,数据分析经理,20k-40k,北京尚德机构,5-10年,本科,10000人以上
北京5,北京,北京,数据分析,15k-25k,鼎阅集团,3-5年,本科,100-499人
北京5,北京,北京,数据分析师实习生,3k-4k,厨芯,经验不限,本科,100-499人
北京5,北京,北京,采购数据分析经理,15k-20k,小药药,3-5年,本科,1000-9999人
北京5,北京,北京,数据分析主管,10k-20k,有利网,3-5年,本科,10000人以上
北京5,北京,北京,数据分析师,20k-30k,同程艺龙,3-5年,本科,1000-9999人
北京5,北京,北京,数据分析,15k-25k,VIPKID,5-10年,本科,10000人以上
北京5,北京,北京,资深数据分析师,9k-12k,安居客,1-3年,本科,10000人以上
北京5,北京,北京,数据分析,28k-45k,滴滴出行,3-5年,本科,10000人以上
北京5,北京,北京,数据分析师（人力方向）,8k-13k,美术宝,1-3年,本科,1000-9999人
北京5,北京,北京,数据分析专员,5k-7k,伟业我爱我家,经验不限,大专,10000人以上
北京5,北京,北京,数据分析专员,7k-9k,百利天下教育,经验不限,本科,1000-9999人
北京5,北京,北京,数据分析BI,18k-36k,北京时空幻境,3-5年,本科,100-499人
北京5,北京,北京,数据分析师,30k-60k,京东集团,5-10年,本科,10000人以上
北京5,北京,北京,资深数据分析师,30k-60k,京东金融,3-5年,硕士,10000人以上
北京5,北京,北京,高级/资深数据分析师——游戏方向,20k-40k,今日头条,1-3年,本科,10000人以上
北京5,北京,北京,高级数据分析师,20k-40k,今日头条,3-5年,本科,10000人以上
北京5,北京,北京,数据分析工程师,15k-25k,百度,1-3年,硕士,10000人以上
北京5,北京,北京,新媒体数据分析师,8k-16k,野兽生活,1-3年,本科,20-99人
北京5,北京,北京,数据分析师,20k-25k,长城汽车,3-5年,本科,10000人以上
北京5,北京,北京,数据分析师,15k-25k,小鹏汽车,3-5年,本科,1000-9999人
北京5,北京,北京,数据分析,25k-50k,大地宏图,5-10年,本科,100-499人
北京5,北京,北京,数据分析师,15k-30k,快手,3-5年,本科,1000-9999人
北京5,北京,北京,数据分析师（分析业务层面）,8k-12k,APICloud,1-3年,大专,100-499人
北京5,北京,北京,数据分析工程师,18k-25k,Zenjoy,3-5年,本科,100-499人
北京5,北京,北京,数据分析专家,10k-20k,上海鲲驰,3-5年,大专,500-999人
北京5,北京,北京,数据分析/挖掘,20k-40k,同程艺龙,1-3年,本科,1000-9999人
北京5,北京,北京,数据分析师,20k-40k,便利蜂,3-5年,本科,1000-9999人
北京5,北京,北京,数据分析师,20k-40k,京东金融,5-10年,本科,10000人以上
北京5,北京,北京,数据分析经理,15k-30k,水滴互助,3-5年,本科,1000-9999人
北京6,北京,北京,数据分析师,20k-40k,滴滴出行,1-3年,本科,10000人以上
北京6,北京,北京,中级数据分析,15k-22k,车来了,1-3年,本科,100-499人
北京6,北京,北京,数据分析工程师,15k-30k,陌陌,3-5年,硕士,1000-9999人
北京6,北京,北京,数据分析师,6k-8k,全时天地在线,应届生,大专,1000-9999人
北京6,北京,北京,数据分析师,11k-20k,迷橙,1-3年,本科,100-499人
北京6,北京,北京,数据分析师,15k-25k,作业盒子,1-3年,本科,1000-9999人
北京6,北京,北京,数据分析师,4k-5k,北京德邦货运代理,经验不限,本科,10000人以上
北京6,北京,北京,数据分析专员,4k-6k,东易日盛,1-3年,大专,1000-9999人
北京6,北京,北京,JAVA开发（偏数据分析方向）,12k-24k,企友,3-5年,本科,20-99人
北京6,北京,北京,数据分析师,8k-10k,多彩互动广告,1-3年,本科,100-499人
北京6,北京,北京,数据分析师,8k-15k,北京尚德机构,1-3年,本科,10000人以上
北京6,北京,北京,数据分析经理(数据挖掘方向）,15k-25k,云科技,3-5年,本科,100-499人
北京6,北京,北京,数据分析（反作弊）,15k-25k,滴滴出行,1-3年,本科,10000人以上
北京6,北京,北京,数据分析经理,20k-35k,宜信公司,5-10年,本科,10000人以上
北京6,北京,北京,数据分析师,5k-8k,百度本地广告,3-5年,本科,10000人以上
北京6,北京,北京,数据分析师,30k-40k,Boss直聘,3-5年,本科,1000-9999人
北京6,北京,北京,数据分析师,30k-55k,宝宝树,5-10年,本科,1000-9999人
北京6,北京,北京,数据分析师,15k-25k,百度,3-5年,本科,10000人以上
北京6,北京,北京,数据分析工程师,10k-15k,亚信科技,3-5年,本科,10000人以上
北京6,北京,北京,销售数据分析师(外派至联想）,10k-16k,上海微创软件,1-3年,本科,1000-9999人
北京6,北京,北京,数据分析师,20k-35k,凯叔讲故事,3-5年,本科,100-499人
北京6,北京,北京,数据分析师,20k-40k,便利蜂,5-10年,本科,1000-9999人
北京6,北京,北京,数据分析师,10k-15k,立刻出行,3-5年,本科,500-999人
北京6,北京,北京,数据分析员,4k-6k,惠丰鑫程,经验不限,学历不限,20-99人
北京6,北京,北京,数据分析师,20k-30k,闪送,3-5年,硕士,500-999人
北京6,北京,北京,数据分析师,2k-3k,京东集团,1年以内,本科,10000人以上
北京6,北京,北京,数据分析师实习生,3k-4k,厨芯,经验不限,本科,100-499人
北京6,北京,北京,数据分析师,14k-16k,亿腾信息,3-5年,大专,100-499人
北京6,北京,北京,数据分析工程师,16k-28k,北明软件,3-5年,本科,1000-9999人
北京7,北京,北京,数据分析师实习生,3k-4k,厨芯,经验不限,本科,100-499人
北京7,北京,北京,数据分析师,15k-30k,易车,3-5年,硕士,1000-9999人
北京7,北京,北京,数据分析师,25k-40k,旭辉,3-5年,本科,100-499人
北京7,北京,北京,数据分析师,8k-14k,多彩互动广告,3-5年,本科,100-499人
北京7,北京,北京,数据分析总监,50k-70k,GEO集奥聚合,5-10年,本科,100-499人
北京7,北京,北京,数据分析师,20k-35k,北京新氧万维,3-5年,本科,500-999人
北京7,北京,北京,数据分析师,8k-15k,思享广告,3-5年,本科,20-99人
北京7,北京,北京,数据分析师,10k-15k,水滴互助,1-3年,本科,1000-9999人
北京7,北京,北京,数据分析师,8k-15k,佰聆数据,1-3年,本科,100-499人
北京7,北京,北京,数据分析师,15k-25k,一下科技,3-5年,本科,500-999人
北京7,北京,北京,数据分析师,20k-30k,祥运科技,3-5年,本科,20-99人
北京7,北京,北京,商业数据分析师,15k-25k,松鼠拼拼,3-5年,本科,1000-9999人
北京7,北京,北京,数据分析专家,25k-50k,美团网,5-10年,本科,10000人以上
北京7,北京,北京,销售数据分析,4k-6k,爱亲科技,经验不限,大专,1000-9999人
北京7,北京,北京,高级数据分析师,15k-30k,知乎,3-5年,本科,1000-9999人
北京7,北京,北京,数据分析师（大数据管理方向）,6k-10k,金信网银,1-3年,本科,20-99人
北京7,北京,北京,数据分析工程师,20k-40k,志翔科技,3-5年,硕士,100-499人
北京7,北京,北京,数据分析师,6k-8k,北京蝶上,经验不限,大专,100-499人
北京7,北京,北京,数据分析师,10k-15k,拓尔思,经验不限,本科,1000-9999人
北京7,北京,北京,数据分析专家,30k-50k,NewsBreak,3-5年,硕士,20-99人
北京7,北京,北京,销售助理（数据分析）,4k-6k,爱亲科技,经验不限,学历不限,1000-9999人
北京7,北京,北京,金融数据分析师,20k-35k,洋钱罐,1-3年,本科,100-499人
北京7,北京,北京,高级数据分析师,25k-35k,闪送科技,5-10年,本科,500-999人
北京7,北京,北京,数据分析,15k-30k,启萌教育科技有限公司,3-5年,本科,100-499人
北京7,北京,北京,数据分析经理,30k-40k,瓜子二手车直卖网,5-10年,本科,10000人以上
北京7,北京,北京,总经理助理（数据分析方向）,6k-8k,东易日盛,1-3年,大专,1000-9999人
北京7,北京,北京,高级数据分析师,20k-40k,马蜂窝,1年以内,本科,1000-9999人
北京7,北京,北京,大数据平台数据分析师,15k-30k,一下科技,3-5年,本科,500-999人
北京7,北京,北京,数据分析,5k-10k,文思海辉,经验不限,学历不限,10000人以上
北京7,北京,北京,数据分析师,20k-40k,河北幸福消费金融,5-10年,本科,100-499人
北京8,北京,北京,数据分析师,30k-60k,滴滴出行,3-5年,本科,10000人以上
北京8,北京,北京,数据分析师,15k-30k,魔力耳朵,3-5年,本科,500-999人
北京8,北京,北京,资深数据分析师,25k-40k,今日头条,经验不限,本科,10000人以上
北京8,北京,北京,数据分析师（开发工程师）,15k-30k,祥运科技,3-5年,本科,20-99人
北京8,北京,北京,商业数据分析,18k-30k,美团点评,3-5年,本科,10000人以上
北京8,北京,北京,高级/数据分析师（经理）,35k-65k,探探,3-5年,本科,100-499人
北京8,北京,北京,数据分析专家（用户增长）,25k-50k,滴滴出行,3-5年,本科,10000人以上
北京8,北京,北京,文本数据分析工程师,8k-12k,拓尔思,1-3年,本科,1000-9999人
北京8,北京,北京,数据分析师,18k-36k,京东金融,3-5年,本科,10000人以上
北京8,北京,北京,spss数据分析,15k-30k,北京尚德机构,3-5年,本科,10000人以上
北京8,北京,北京,数据分析师,10k-20k,水滴互助,3-5年,本科,1000-9999人
北京8,北京,北京,数据分析专员,10k-15k,闲来游戏,1-3年,本科,1000-9999人
北京8,北京,北京,数据分析师,15k-30k,火眼征信,3-5年,硕士,20-99人
北京8,北京,北京,数据分析数据挖掘实习生,3k-4k,DOD,应届生,本科,20-99人
北京8,北京,北京,数据分析,15k-30k,瓜子二手车直卖网,5-10年,本科,10000人以上
北京8,北京,北京,数据分析师,5k-7k,文思海辉,1年以内,本科,10000人以上
北京8,北京,北京,数据分析,8k-15k,京东集团,1-3年,本科,10000人以上
北京8,北京,北京,师资数据分析,9k-13k,学霸君,1-3年,本科,1000-9999人
北京8,北京,北京,数据分析专家,15k-25k,滴滴出行,3-5年,本科,10000人以上
北京8,北京,北京,数据分析师,30k-60k,忽客时代（北京）...,1年以内,本科,100-499人
北京8,北京,北京,数据分析师,15k-30k,数美,1-3年,本科,100-499人
北京8,北京,北京,数据分析师,20k-40k,映客直播,1-3年,本科,500-999人
北京8,北京,北京,数据分析师,7k-14k,云合,1-3年,本科,20-99人
北京8,北京,北京,数据分析师,15k-25k,北京时空幻境,1-3年,本科,100-499人
北京8,北京,北京,数据分析,6k-10k,Newbanker,经验不限,本科,100-499人
北京8,北京,北京,数据分析,7k-14k,北京美中宜和妇儿...,1-3年,本科,1000-9999人
北京8,北京,北京,资深数据分析师,36k-52k,恬橙,5-10年,本科,100-499人
北京8,北京,北京,数据分析师（校招）,13k-25k,数美,经验不限,硕士,100-499人
北京8,北京,北京,数据分析师,23k-35k,好未来,5-10年,本科,10000人以上
北京8,北京,北京,高级数据分析师,20k-40k,趣头条,3-5年,学历不限,1000-9999人
北京9,北京,北京,高级数据分析经理,20k-35k,赢销通,5-10年,本科,500-999人
北京9,北京,北京,数据分析师,20k-40k,贝壳金服,5-10年,本科,1000-9999人
北京9,北京,北京,数据分析师,10k-18k,量城科技,1-3年,硕士,0-20人
北京9,北京,北京,数据分析运营,5k-6k,迪思公关,1-3年,本科,500-999人
北京9,北京,北京,高级数据分析师,20k-30k,滴滴出行,3-5年,本科,10000人以上
北京9,北京,北京,数据分析师,15k-25k,马蜂窝,1-3年,本科,1000-9999人
北京9,北京,北京,数据分析师,10k-20k,北大软件,1-3年,本科,500-999人
北京9,北京,北京,数据分析,15k-25k,猿辅导,3-5年,本科,1000-9999人
北京9,北京,北京,商业数据分析师,35k-50k,恬橙,5-10年,本科,100-499人
北京9,北京,北京,数据分析挖掘专家,30k-50k,高德地图,3-5年,本科,1000-9999人
北京9,北京,北京,高级数据分析师,25k-40k,有书,3-5年,本科,100-499人
北京9,北京,北京,数据分析,10k-15k,小小黛朵,1-3年,本科,100-499人
北京9,北京,北京,高级数据分析师BI,25k-35k,尚德机构,5-10年,本科,10000人以上
北京9,北京,北京,数据分析师,10k-20k,亚信科技,3-5年,本科,10000人以上
北京9,北京,北京,数据分析,15k-30k,The ONE,3-5年,本科,100-499人
北京9,北京,北京,媒介数据分析师,6k-10k,泽桥传媒科技,1-3年,硕士,20-99人
北京9,北京,北京,数据分析师,7k-10k,居理新房,1-3年,本科,1000-9999人
北京9,北京,北京,数据分析实习生,3k-4k,敲敲科技,应届生,本科,20-99人
北京9,北京,北京,数据分析,6k-10k,睿帆科技,1-3年,大专,20-99人
北京9,北京,北京,高级数据分析师,20k-30k,斗米优聘,3-5年,本科,1000-9999人
北京9,北京,北京,数据分析师,20k-30k,The ONE,3-5年,本科,100-499人
北京9,北京,北京,数据分析师,12k-24k,安永华明会计师事务所,经验不限,本科,10000人以上
北京9,北京,北京,数据分析,6k-7k,Boss直聘,经验不限,本科,1000-9999人
北京9,北京,北京,高级数据分析员,13k-24k,安百科技,经验不限,学历不限,100-499人
北京9,北京,北京,数据分析,6k-12k,全时天地在线,1-3年,本科,1000-9999人
北京9,北京,北京,数据分析,18k-35k,众安保险,5-10年,本科,1000-9999人
北京9,北京,北京,商业数据分析,15k-30k,The ONE,3-5年,本科,100-499人
北京10,北京,北京,数据分析师,16k-30k,寺库中国,3-5年,大专,1000-9999人
北京10,北京,北京,数据分析师,10k-20k,ABD爱梦娱乐,经验不限,本科,20-99人
北京10,北京,北京,高级数据分析经理,20k-40k,便利24,3-5年,本科,100-499人
北京10,北京,北京,微信数据分析,15k-25k,腾讯,3-5年,硕士,10000人以上
北京10,北京,北京,数据分析师,45k-70k,忽客时代（北京）...,3-5年,本科,100-499人
北京10,北京,北京,数据分析师,15k-25k,点点未来,3-5年,学历不限,100-499人
北京10,北京,北京,数据分析师 (J171124002),15k-30k,滴滴出行,3-5年,本科,10000人以上
北京10,北京,北京,高级数据分析师,15k-25k,美团点评,3-5年,本科,10000人以上
北京10,北京,北京,数据分析经理,60k-120k,好未来,5-10年,本科,10000人以上
北京10,北京,北京,数据分析师,15k-30k,闲来游戏,1-3年,本科,1000-9999人
北京10,北京,北京,数据分析师,5k-6k,达观传媒,经验不限,本科,100-499人
北京10,北京,北京,商业数据分析师,10k-20k,哈步数据,3-5年,本科,20-99人
北京10,北京,北京,数据分析师,8k-16k,航天神舟软件,1-3年,硕士,1000-9999人
北京10,北京,北京,数据运营主管/数据分析师(J10508),10k-15k,藤门国际教育,1-3年,本科,1000-9999人
北京10,北京,北京,数据分析师,10k-20k,玩吧,1-3年,本科,100-499人
北京10,北京,北京,数据分析师,10k-20k,百度,经验不限,本科,10000人以上
北京10,北京,北京,数据分析,15k-30k,好未来,3-5年,本科,10000人以上
北京10,北京,北京,数据分析专员,8k-12k,闲豆回收,1-3年,大专,100-499人
北京10,北京,北京,数据分析师,6k-10k,云科技,1年以内,本科,100-499人
北京10,北京,北京,数据分析,15k-30k,京东金融,3-5年,本科,10000人以上
北京10,北京,北京,数据分析工程师,10k-16k,科来,1-3年,本科,100-499人
北京10,北京,北京,数据分析经理,20k-40k,小米,3-5年,本科,10000人以上
北京10,北京,北京,数据分析高级经理,60k-90k,VIPKID,5-10年,本科,10000人以上
北京10,北京,北京,数据分析专家,12k-24k,瓜子二手车直卖网,3-5年,本科,10000人以上
北京10,北京,北京,数据分析师（视频直播）,15k-25k,陌陌,1-3年,本科,1000-9999人
北京10,北京,北京,数据分析师,15k-22k,北京计算机研究所,3-5年,硕士,1000-9999人
北京10,北京,北京,高级数据分析师,20k-40k,瓜子二手车直卖网,5-10年,本科,10000人以上
北京10,北京,北京,数据分析师,10k-20k,数美,应届生,硕士,100-499人
北京11,北京,北京,数据分析师,16k-30k,寺库中国,3-5年,大专,1000-9999人
北京11,北京,北京,数据分析师,10k-20k,ABD爱梦娱乐,经验不限,本科,20-99人
北京11,北京,北京,高级数据分析经理,20k-40k,便利24,3-5年,本科,100-499人
北京11,北京,北京,微信数据分析,15k-25k,腾讯,3-5年,硕士,10000人以上
北京11,北京,北京,数据分析师,45k-70k,忽客时代（北京）...,3-5年,本科,100-499人
北京11,北京,北京,数据分析师,15k-25k,点点未来,3-5年,学历不限,100-499人
北京11,北京,北京,数据分析师 (J171124002),15k-30k,滴滴出行,3-5年,本科,10000人以上
北京11,北京,北京,高级数据分析师,15k-25k,美团点评,3-5年,本科,10000人以上
北京11,北京,北京,数据分析经理,60k-120k,好未来,5-10年,本科,10000人以上
北京11,北京,北京,数据分析师,15k-30k,闲来游戏,1-3年,本科,1000-9999人
北京11,北京,北京,数据分析师,5k-6k,达观传媒,经验不限,本科,100-499人
北京11,北京,北京,商业数据分析师,10k-20k,哈步数据,3-5年,本科,20-99人
北京11,北京,北京,数据分析师,8k-16k,航天神舟软件,1-3年,硕士,1000-9999人
北京11,北京,北京,数据运营主管/数据分析师(J10508),10k-15k,藤门国际教育,1-3年,本科,1000-9999人
北京11,北京,北京,数据分析师,10k-20k,玩吧,1-3年,本科,100-499人
北京11,北京,北京,数据分析师,10k-20k,百度,经验不限,本科,10000人以上
北京11,北京,北京,数据分析,15k-30k,好未来,3-5年,本科,10000人以上
北京11,北京,北京,数据分析专员,8k-12k,闲豆回收,1-3年,大专,100-499人
北京11,北京,北京,数据分析师,6k-10k,云科技,1年以内,本科,100-499人
北京11,北京,北京,数据分析,15k-30k,京东金融,3-5年,本科,10000人以上
北京11,北京,北京,数据分析工程师,10k-16k,科来,1-3年,本科,100-499人
北京11,北京,北京,数据分析经理,20k-40k,小米,3-5年,本科,10000人以上
北京11,北京,北京,数据分析高级经理,60k-90k,VIPKID,5-10年,本科,10000人以上
北京11,北京,北京,数据分析专家,12k-24k,瓜子二手车直卖网,3-5年,本科,10000人以上
北京11,北京,北京,数据分析师（视频直播）,15k-25k,陌陌,1-3年,本科,1000-9999人
北京11,北京,北京,数据分析师,15k-22k,北京计算机研究所,3-5年,硕士,1000-9999人
北京11,北京,北京,高级数据分析师,20k-40k,瓜子二手车直卖网,5-10年,本科,10000人以上
北京11,北京,北京,数据分析师,10k-20k,数美,应届生,硕士,100-499人
北京12,北京,北京,数据分析师,16k-30k,寺库中国,3-5年,大专,1000-9999人
北京12,北京,北京,数据分析师,10k-20k,ABD爱梦娱乐,经验不限,本科,20-99人
北京12,北京,北京,高级数据分析经理,20k-40k,便利24,3-5年,本科,100-499人
北京12,北京,北京,微信数据分析,15k-25k,腾讯,3-5年,硕士,10000人以上
北京12,北京,北京,数据分析师,45k-70k,忽客时代（北京）...,3-5年,本科,100-499人
北京12,北京,北京,数据分析师,15k-25k,点点未来,3-5年,学历不限,100-499人
北京12,北京,北京,数据分析师 (J171124002),15k-30k,滴滴出行,3-5年,本科,10000人以上
北京12,北京,北京,高级数据分析师,15k-25k,美团点评,3-5年,本科,10000人以上
北京12,北京,北京,数据分析经理,60k-120k,好未来,5-10年,本科,10000人以上
北京12,北京,北京,数据分析师,15k-30k,闲来游戏,1-3年,本科,1000-9999人
北京12,北京,北京,数据分析师,5k-6k,达观传媒,经验不限,本科,100-499人
北京12,北京,北京,商业数据分析师,10k-20k,哈步数据,3-5年,本科,20-99人
北京12,北京,北京,数据分析师,8k-16k,航天神舟软件,1-3年,硕士,1000-9999人
北京12,北京,北京,数据运营主管/数据分析师(J10508),10k-15k,藤门国际教育,1-3年,本科,1000-9999人
北京12,北京,北京,数据分析师,10k-20k,玩吧,1-3年,本科,100-499人
北京12,北京,北京,数据分析师,10k-20k,百度,经验不限,本科,10000人以上
北京12,北京,北京,数据分析,15k-30k,好未来,3-5年,本科,10000人以上
北京12,北京,北京,数据分析专员,8k-12k,闲豆回收,1-3年,大专,100-499人
北京12,北京,北京,数据分析师,6k-10k,云科技,1年以内,本科,100-499人
北京12,北京,北京,数据分析,15k-30k,京东金融,3-5年,本科,10000人以上
北京12,北京,北京,数据分析工程师,10k-16k,科来,1-3年,本科,100-499人
北京12,北京,北京,数据分析经理,20k-40k,小米,3-5年,本科,10000人以上
北京12,北京,北京,数据分析高级经理,60k-90k,VIPKID,5-10年,本科,10000人以上
北京12,北京,北京,数据分析专家,12k-24k,瓜子二手车直卖网,3-5年,本科,10000人以上
北京12,北京,北京,数据分析师（视频直播）,15k-25k,陌陌,1-3年,本科,1000-9999人
北京12,北京,北京,数据分析师,15k-22k,北京计算机研究所,3-5年,硕士,1000-9999人
北京12,北京,北京,高级数据分析师,20k-40k,瓜子二手车直卖网,5-10年,本科,10000人以上
北京12,北京,北京,数据分析师,10k-20k,数美,应届生,硕士,100-499人
北京13,北京,北京,数据分析师,16k-30k,寺库中国,3-5年,大专,1000-9999人
北京13,北京,北京,数据分析师,10k-20k,ABD爱梦娱乐,经验不限,本科,20-99人
北京13,北京,北京,高级数据分析经理,20k-40k,便利24,3-5年,本科,100-499人
北京13,北京,北京,微信数据分析,15k-25k,腾讯,3-5年,硕士,10000人以上
北京13,北京,北京,数据分析师,45k-70k,忽客时代（北京）...,3-5年,本科,100-499人
北京13,北京,北京,数据分析师,15k-25k,点点未来,3-5年,学历不限,100-499人
北京13,北京,北京,数据分析师 (J171124002),15k-30k,滴滴出行,3-5年,本科,10000人以上
